[            Date / Time][                File][   TID][            Function][ Line][  Level]: [Message]
[2022.02.04-14:18:03.721][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 316
[2022.02.04-14:18:06.281][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 308
[2022.02.04-14:18:06.281][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 308
[2022.02.04-14:18:19.081][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 308
[2022.02.04-14:18:19.081][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 308
[2022.02.04-14:18:21.027][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 312
[2022.02.04-14:18:21.027][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 312
[2022.02.04-14:18:24.406][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 312
[2022.02.04-14:18:24.406][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 312
[2022.02.04-14:18:27.581][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 312
[2022.02.04-14:18:27.581][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 312
[2022.02.04-14:18:31.369][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 312
[2022.02.04-14:18:31.370][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 312
[2022.02.04-14:18:33.626][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 312
[2022.02.04-14:18:33.626][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 312
[2022.02.04-14:18:36.592][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 313
[2022.02.04-14:18:36.592][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 313
[2022.02.04-14:18:38.538][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 317
[2022.02.04-14:18:38.538][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 317
[2022.02.04-14:18:41.405][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 317
[2022.02.04-14:18:41.405][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 317
[2022.02.04-14:18:44.989][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 318
[2022.02.04-14:18:44.989][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 318
[2022.02.04-14:18:48.368][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 318
[2022.02.04-14:18:48.368][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 318
[2022.02.04-14:18:52.464][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 318
[2022.02.04-14:18:52.465][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 318
[2022.02.04-14:18:55.536][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 318
[2022.02.04-14:18:55.536][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 318
[2022.02.04-14:18:58.404][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 318
[2022.02.04-14:18:58.404][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 318
[2022.02.04-14:19:00.455][       websocket.cpp][125011][             on_read][  185][   INFO]: BinanceWebsocket on read. 318
[2022.02.04-14:19:00.455][       websocket.cpp][125011][             on_read][  189][   INFO]: Reading buffer. 318
[2022.02.04-14:19:01.406][            main.cpp][125013][                 inp][   38][   INFO]: Pressed X. Exiting...
[2022.02.04-14:19:01.406][       utilities.cpp][125013][     ~WebsocketUtils][   63][   INFO]: WebsocketUtils destructor.
[2022.02.04-14:19:01.406][       utilities.cpp][125013][          ~Utilities][   39][   INFO]: Utilities destructor.
[2022.02.04-14:19:01.406][            elog.cpp][125013][               ~eLog][   70][   INFO]: Logging has been successfully terminated. Total log file: 1
